indice,volt_salida,ah,marca,modelo,num_serie,estado,volt_entrada,cable_entrada,cable_salida,precio_venta
1,24,550,EnerSys EnForcer SCR,ES3-12-550,MK193284,FUNCIONANDO,240 (Configurable 208/240/480),NO,SI," $ 7,400.00 "
2,24,550,EnerSys EnForcer SCR,ES3-12-550,MK193281,FUNCIONANDO,(Configurable 208/240/480),NO,SI," $ 7,400.00 "
3,24,550,EnerSys EnForcer SCR,ES3-12-550,MK193292,FUNCIONANDO,240 (Configurable 208/240/480),NO,SI," $ 7,400.00 "
4,24,550,EnerSys EnForcer SCR,ES3-12-550,MK193291,FUNCIONANDO,240 (Configurable 208/240/480),NO,SI," $ 7,400.00 "
5,24,550,EnerSys EnForcer SCR,ES3-12-550,MK193283,FUNCIONANDO,(Configurable 208/240/480),NO,SI," $ 7,400.00 "
6,24,550,EnerSys EnForcer SCR,ES3-12-550,MK193286,FUNCIONANDO,240 (Configurable 208/240/480),NO,SI," $ 7,400.00 "
7,24,750,EnerSys EnForcer SCR,ES3-12-750,MK193267,FUNCIONANDO,240 (Configurable 208/240/480),NO,SI," $ 7,400.00 "
8,24,750,EnerSys EnForcer SCR,ES3-12-750,MK193265,FUNCIONANDO,240 (Configurable 208/240/480),NO,SI," $ 7,400.00 "
9,24,750,EnerSys EnForcer SCR,ES3-12-750,MK193307,FUNCIONANDO,240 (Configurable 208/240/480),NO,SI," $ 7,400.00 "
10,24,750,EnerSys EnForcer SCR,ES3-12-750,MK193270,FUNCIONANDO,(Configurable 208/240/480),NO,SI," $ 7,400.00 "
11,24,750,EnerSys EnForcer SCR,ES3-12-750,MK193309,FUNCIONANDO,240 (Configurable 208/240/480),NO,SI," $ 7,400.00 "
12,24,750,EnerSys EnForcer SCR,ES3-12-750,MK193306,FUNCIONANDO,240 (Configurable 208/240/480),NO,SI," $ 7,400.00 "
13,24,750,EnerSys EnForcer SCR,ES3-12-750,MK193310,FUNCIONANDO,(Configurable 208/240/480),NO,SI," $ 7,400.00 "
14,24,960,EnerSys EnForcer SCR,ES3-12-960,LG181743,FUNCIONANDO,(Configurable 208/240/480),NO,SI," $ 7,400.00 "
15,24,1050,EnerSys EnForcer SCR,ES3-12-1050,LC137132,FUNCIONANDO,(Configurable 208/240/480),NO,SI," $ 7,400.00 "
16,24,381 TO 510,Battery Mate,510H3-12C,308CS66421,FUNCIONANDO,Configurable 208/240/480,NO,SI," $ 7,400.00 "
17,24,381 TO 510,Battery Mate,510M1-12C,204CS17611,FUNCIONANDO,(Configurable 208/240/480),NO,SI," $ 7,400.00 "
18,24,381 TO 510,Battery Mate,510M1-12C,299CS50235,FUNCIONANDO,(Configurable 208/240/480),NO,SI," $ 7,400.00 "
19,24,751-880,Battery Mate,880-H3-12C,214CS20244,FUNCIONANDO,(Configurable 208/240/480),NO,SI," $ 7,400.00 "
20,24,751-880,Battery Mate,880H3-12C,114CS18699,FUNCIONANDO,(Configurable 208/240/480),NO,SI," $ 7,400.00 "
21,24,751-880,Battery Mate,880-H3-12C,214CS20243,FUNCIONANDO,(Configurable 208/240/480),NO,SI," $ 7,400.00 "
22,24,965,Battery Mate,965H3-12C,410CS282541,FUNCIONANDO,Configurable 208/240/480,NO,SI," $ 7,400.00 "
23,24,865,EnerSys EnForcer Ferro ,EF3-12-865,HL57031,FUNCIONANDO,(Configurable 208/240/480),NO,SI," $ 7,400.00 "
24,24,550,EnerSys EnForcer Ferro ,EF3-12-550,KB101196,FUNCIONANDO,480  (Configurable 208/240/480),NO,SI," $ 7,400.00 "
25,36,700,MEXIDE,CAS-18-3-700,2334,FUNCIONANDO,240,NO,SI," $ 7,400.00 "
26,36,680,EnerSys EnForcer Ferro ,EF3-18-680,FE63614,FUNCIONANDO,(Configurable 208/240/480),NO,SI," $ 7,400.00 "
27,36,1200,Enersys Enforcer HF,EH3-18-1200,MJ190438,FUNCIONANDO,440,NO,SI," $ 7,400.00 "
28,36,1200,Enersys Enforcer HF,EH3-18-1200,MJ190896,FUNCIONANDO,440,NO,SI," $ 7,400.00 "