marca,modelo,serie,modelo_bateria,ah,capacidad,altura_max,precio_venta,estatus
CROWN,RC3020-30,1A284848,18-125-15,1120Ah,1200 kg,4.8 metros," $ 83,087.84 ",1
TOYOTA,6FBRE16,36412,24-125-11,625,1600,8.5 METROS," $ 85,137.36 ",1
TOYOTA,6FBRE16,36413,24-125-11,625,1600,8.5 METROS," $ 85,137.36 ",2
TOYOTA,CBT6,12224,24-85-9,340,4410 N,N/A," $ 62,996.56 ",3
TOYOTA,CBT6,12225,24-85-9,340,4410 N,N/A," $ 62,996.56 ",3
TOYOTA,CBT6,12339,24-85-9,340,4410 N,N/A," $ 62,996.56 ",3
RAYMOND,8610,11849,12-85-13,750,3115 N,N/A," $ 37,788.96 ",3
RAYMOND,8610,11852,12-85-13,750,3115 N,N/A," $ 37,788.96 ",3
RAYMOND,8610,11939,12-85-13,750,3115 N,N/A," $ 37,788.96 ",1
RAYMOND,8610,11940,12-85-13,750,3115 N,N/A," $ 37,788.96 ",1
RAYMOND,8610,11941,12-85-13,750,3115 N,N/A," $ 37,788.96 ",1
POWERBOSS,TSS90KLPG,2032004,GASOLINA,N/A,N,N/A,,2
TOYOTA,6FBRE16,34453,24-125-11,625,1600,8.5 METROS," $ 83,087.84 ",1
HYSTER,E50X,F108V2785____,18-85-23,935,2500 KILOS,5.85 METROS," $ 89,056.88 ",3
TOYOTA,7FBEU20,22525,24-85-15,595,1800 KG,4.8 metros," $ 83,955.52 ",3
TOYOTA,8TB50,41992,12-85-13,750,3158 N,N/A," $ 37,788.96 ",3